Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ต.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,11,2053,Studio,69,1872,73,2025,4.0,153,-,-,-,-,120,1224.0,6800,-,-,,8144.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,12,2054,Studio,33,1341,38,1513,5.0,172,-,-,-,-,150,1376.0,6800,-,-,,8326.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,13,2055,Studio,40,1614,44,1800,4.0,186,-,-,-,-,120,1488.0,6800,-,-,,8408.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,14,2056,Studio,34,1529,39,1807,5.0,278,-,-,-,-,150,2224.0,6800,-,-,,9174.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,15,2057,Studio,58,1862,61,2030,3.0,168,-,-,-,-,90,1344.0,6800,-,-,,8234.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,16,2058,Studio,81,2550,87,2974,6.0,424,-,-,-,-,180,3392.0,6800,-,-,,10372.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
C,17,3011,Studio,8,860,11,1079,3.0,219,,,,,90,1752.0,6800,,,,8642.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-07 00:00:00,6 เดือน,,,
C,18,3014,Studio,29,1739,30,1912,1.0,173,-,-,-,-,30,1384.0,6800,-,-,,8214.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
C,19,3019,Suite,35,1407,42,1670,7.0,263,-,-,-,-,210,2104.0,13600,-,-,,15914.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,20,3021,Studio,95,1908,107,2080,12.0,172,-,-,-,-,360,1376.0,6800,,,,8536.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,21,3022,Studio,29,2099,33,2386,4.0,287,-,-,-,-,120,2296.0,6800,-,-,,9216.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,22,3023,Studio,26,1357,30,1598,4.0,241,,,,,120,1928.0,6800,,,,8848.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-07 00:00:00,6 เดือน,,,
C,23,3025,Studio,35,1339,39,1480,4.0,141,-,-,-,-,120,1128.0,6800,-,-,,8048.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,24,3026,Studio,26,1612,30,1853,4.0,241,-,-,-,-,120,1928.0,6800,-,-,,8848.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,25,3027,Studio,33,1154,46,1345,13.0,191,-,-,-,-,390,1528.0,6800,-,-,,8718.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,26,3028,Studio,23,1219,24,1308,1.0,89,,,,,30,712.0,6800,,,,7542.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-01 00:00:00,6 เดือน,,,
C,27,3029,Suite,67,1511,83,2144,16.0,633,,,,,480,5064.0,13600,,,,19144.0,,,,,,,,,,,,,,,,,,,,,27200.0,2568-06-25 00:00:00,6 เดือน,,,
C,28,3036,Studio,34,1542,39,1866,5.0,324,-,-,-,-,150,2592.0,6800,-,-,,9542.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,29,3038,Studio,35,1197,39,1380,4.0,183,-,-,-,-,120,1464.0,6800,-,-,,8384.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
C,30,3039,Studio,35,1718,41,1906,6.0,188,-,-,-,-,180,1504.0,6800,-,-,,8484.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
W,31,4077,Studio,8,304,13,650,5.0,346,11/9/2568,M Estate 1983859190,6800,6800,150,2768.0,6800,,,,9718.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-01 00:00:00,6 เดือน,,,
W,32,4119,Studio,3,84,8,248,5.0,164,,,,,150,1312.0,6800,,,,8262.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-26 00:00:00,6 เดือน,,,
W,33,4124,Studio,3,84,11,457,8.0,373,,,,,240,2984.0,6800,,,,10024.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,34,4125,Studio,2,63,6,210,4.0,147,,,,,120,1176.0,6800,,,,8096.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,35,4126,Studio,2,48,7,258,5.0,210,,,,,150,1680.0,6800,,,,8630.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,36,4127,Studio,1,33,8,221,7.0,188,,,,,210,1504.0,6800,,,,8514.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,202.0,9066,,,6800,6800,6060,72528.0,258400,0,0,,336988.0,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,503200.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คืนย้ายออก,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,แปลง2 (Chen Jun) ค่าเช่า ก.ย,,,,,,,ประกัน + ล่วงหน้า 4077 เข้าพัก 1/9/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,336988,,M Estate 1983859190,,4&6/10/2568,,ยอดเข้า,13600,,M Estate 1983859190,,2568-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,k.ณรงค์ 0581083912,,,,ยอดออก,0,,k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,336988,,,,,,=,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่า ก.ย,,,,,,,ประกัน + ล่วงหน้า 4077 เข้าพัก 1/9/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รายได้ค่าเช่า,,258400,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,202,6060,บาท,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,9066,72528,บาท,72528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รวม,,,336988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ประกัน+ล่วงหน้า ค้างชำระ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,วันที่,ยอดโอน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2568-10-04 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2568-10-04 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2568-10-04 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2568-10-04 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2568-10-06 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2568-10-06 00:00:00,49900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2568-10-06 00:00:00,32868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2568-10-06 00:00:00,4720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รวม,,336988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเชา ก.ย,,336988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
