Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,ยอดเงินยกมาจากเดือน มี.ค 2568,Unnamed: 19,Unnamed: 20,504474.3000000001,ยอดเงินโอนข้ามเดือน,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,ยอดเงินโอนออกยกมาจากเดือน มี.ค 2568,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,27993.36,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,E,7,,1007,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,8,,1008,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,9,,1009,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,10,,1010,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,11,,1011,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,12,,1012,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,13,,1013,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,14,,1014,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,15,,1015,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,16,คินวอง,1016,Suite,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,,
,E,17,คินวอง,1017,Suite,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,,
,E,18,,1018,Suite,0,0,0,0,0,0,,-,-,,,0,0,0,-,-,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,E,19,,1019,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-03-05 00:00:00,,,,
,E,20,,1020,Suite,,,,,,,,-,-,,,0,0,,-,-,,-,-,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,2568-03-05 00:00:00,,,,
,E,21,รันเนอจี,1021,Suite,,,,,,,,-,-,,,,,,-,-,,-,-,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,2568-03-05 00:00:00,,,,
6,E,22,ทั่วไป,1022,Suite,39,1036,45,1420,6,384,,-,-,,,180,3072,6800,-,-,10/5/2568,10052,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,0,0,,-,,-,-,-,-,-,-,10000,2567-10-22 00:00:00,3 เดือน,2568-01-31 00:00:00,,
7,E,23,ทั่วไป,1023,Suite,32,1181,44,1672,12,491,,-,-,,,360,3928,6800,-,-,10/5/2568,11088,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,0,0,,-,,-,-,-,-,-,-,10000,2567-10-22 00:00:00,3 เดือน,2568-01-31 00:00:00,,
,E,24,,1024,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,25,,1025,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-03-05 00:00:00,,,,
,E,26,,1026,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-03-05 00:00:00,,,,
8,E,27,ร้านอาหาร,1027,Suite,34,400,35,463,1,63,,-,-,,,30,504,5000,,,27/5/2568,5534,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,10000,2568-01-22 00:00:00,,,,
,E,28,,1028,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E,29,OUT,1029,Suite,0,0,0,0,0,0,,-,-,,,0,0,0,0,0,-,-,,,5000,5000,800,-,120,1968,22,792,26,1038,4,246,,7888,,2112,23/4/2568,-,-,21/4/2568,บช k.ณรงค์ 3912,0,2567-10-15 00:00:00,3 เดือน,ย้ายออก,คืนแล้ว,
10,E,30,,1030,Suite,38,1289,45,1648,7,359,,-,-,,,210,2872,6800,0,0,3/5/2568,9882,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,10000,2567-10-11 00:00:00,3 เดือน,2568-01-31 00:00:00,,
,E,31,,1031,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,32,,1032,Suite,36,1641,47,2446,11,805,,-,-,,,330,6440,13600,0,0,3/5/2568,20370,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,20000,2567-10-05 00:00:00,1ปี,2568-10-05 00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,33,เดลทัล,2001,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,34,เดลทัล,2002,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,35,เดลทัล,2003,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,36,เดลทัล,2004,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,37,เดลทัล,2005,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,38,เดลทัล,2006,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,39,เดลทัล,2007,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,40,เดลทัล,2008,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,41,เดลทัล,2009,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,42,เดลทัล,2010,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,43,เดลทัล,2011,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,44,เดลทัล,2012,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,45,เดลทัล,2013,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,46,เดลทัล,2014,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,47,เดลทัล,2015,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,48,เดลทัล,2016,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,49,เดลทัล,2017,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,50,เดลทัล,2018,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,51,เดลทัล,2019,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,52,เดลทัล,2020,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,S,53,แปลง2,2021,Studio,32,499,36,690,4,191,,2568-04-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,120,1528,4986.67,-,-,17/5/2568,6634.67,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,13600,9/4/2568,,,,
13,S,54,OUT,2022,Studio,0,0,0,0,0,0,,-,-,,,0,0,0,-,-,,0,,,6800,6800,800,-,90,1216,9,266,12,418,3,152,,8906,,-,-,4694,2568-05-04 00:00:00,2568-04-30 00:00:00,บช k.ณรงค์ 3912,0,4/2/2568,2เดือน,ย้ายออก,,
14,S,55,,2023,Studio,12,452,18,774,6,322,,-,-,,,180,2576,6800,-,-,1/5/2568,9556,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,4/2/2568,2เดือน,4/4/2568,,
15,S,56,หัวเฉิง,2024,Studio,11,331,12,448,1,117,,-,-,,,30,936,6460,-,-,6/5/2568,7426,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,10000,2567-11-23 00:00:00,2เดือน,31/01/2568,,
16,S,57,แปลง2,2025,Studio,29,573,31,769,2,196,,2568-04-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,60,1568,4986.67,,,17/5/2568,6614.67,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,13600,9/4/2568,,,,
17,S,58,แปลง2,2026,Studio,19,984,24,1400,5,416,,-,-,,,150,3328,6800,-,-,17/5/2568,10278,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
18,S,59,แปลง2,2027,Studio,16,575,22,998,6,423,,-,-,,,180,3384,6800,-,-,17/5/2568,10364,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
19,S,60,แปลง2,2028,Studio,14,748,19,1158,5,410,,-,-,,,150,3280,6800,-,-,17/5/2568,10230,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
,S,61,เดลตัน,2029,Studio,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,-,-,-,-,
,S,62,เดลตัน,2030,Studio,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,,,,,
,S,63,เดลตัน,2031,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,64,เดลตัน,2032,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,65,เดลตัน,2033,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,66,เดลตัน,2034,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,67,เดลตัน,2035,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,68,เดลตัน,2036,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,69,เดลตัน,2037,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,70,เดลตัน,2038,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,71,เดลตัน,2039,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,72,เดลตัน,2040,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,73,เดลตัน,2041,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,74,เดลตัน,2042,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,75,เดลตัน,2043,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,76,เดลตัน,2044,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,77,เดลตัน,2045,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,78,เดลตัน,2046,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,79,เดลตัน,2047,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,80,เดลตัน,2048,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,S,81,แปลง2,2049,Studio,19,688,28,1169,9,481,,,,,,270,3848,6800,-,-,17/5/2568,10918,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
21,S,82,แปลง2,2050,Studio,18,600,27,917,9,317,,,,,,270,2536,6800,-,-,17/5/2568,9606,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
22,S,83,แปลง2,2051,Studio,13,450,17,820,4,370,,,,,,120,2960,6800,-,-,17/5/2568,9880,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
23,S,84,แปลง2,2052,Studio,63,563,68,985,5,422,,,,,,150,3376,6800,-,-,17/5/2568,10326,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
24,S,85,แปลง2,2053,Studio,20,402,28,665,8,263,,,,,,240,2104,6800,-,-,17/5/2568,9144,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
25,S,86,แปลง2,2054,Studio,12,395,16,701,4,306,,,,,,120,2448,6800,-,-,17/5/2568,9368,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2567-11-17 00:00:00,6เดือน,เช่าต่อเนื่อง,,
26,S,87,แปลง2,2055,Studio,23,267,26,504,3,237,,,,,,90,1896,6800,-,-,17/5/2568,8786,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2567-11-17 00:00:00,6เดือน,เช่าต่อเนื่อง,,
27,S,88,แปลง2,2056,Studio,16,472,20,784,4,312,,,,,,120,2496,6800,-,-,17/5/2568,9416,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
28,S,89,แปลง2,2057,Studio,23,569,34,859,11,290,,,,,,330,2320,6800,-,-,17/5/2568,9450,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
29,S,90,แปลง2,2058,Studio,44,791,63,1222,19,431,,,,,,570,3448,6800,-,-,17/5/2568,10818,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-02-06 00:00:00,6เดือน,31/8/2568,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C,91,,3001,Suite,32,540,36,753,4,-,213,2568-04-11 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,120,2130,9066.66,,,2568-05-15 00:00:00,11316.66,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,27200,2568-04-11 00:00:00,,,,
31,C,92,OUT,3002,Suite,,,-,-,-,-,,,,,,,,,,,,,,,0,2266.67,1000,,30,1280,10,254,11,382,1,-,128,4576.67,,,,,,2568-04-26 00:00:00,,0,2568-04-22 00:00:00,,ย้ายออก,,
32,C,93,ทั่วไป,3003,Suite,48,485,60,870,12,-,385,10/4/2568,บจก. เอ็มเอส เทท 1983859190,"13,600","13,600",360,3850,9520,-,-,2568-05-06 00:00:00,13730,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,27200,2568-04-10 00:00:00,,,,
,C,94,แปลง 71,3004,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-02-01 00:00:00,,,,
33,C,95,OUT,3005,Suite,,,,,,,,,,,,,,,,,,,,,0,2266.67,1000,,30,1090,6,195,7,304,1,,109,4386.67,,,,,,2568-04-26 00:00:00,,,2568-04-22 00:00:00,,,,
34,C,96,OUT,3006,Suite,,,,,,,,,,,,,,,,,,,,,13600,13600,800,-,60,1960,4,224,6,420,2,-,196,16420,-,,-,10780,2568-05-02 00:00:00,2568-04-27 00:00:00,บช k.ณรงค์ 3912,0,2568-03-27 00:00:00,1 เดือน,ย้ายออก,ย้ายออก,
,C,97,แปลง 71,3007,Studio,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,,,,,,
35,C,98,,3008,Studio,11,479,13,688,2,209,,,,,,60,1672,6800,-,-,2568-05-07 00:00:00,8532,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,10000,2567-11-23 00:00:00,6เดือน,2568-05-31 00:00:00,,
36,C,99,OUT,3009,Studio,0,0,0,0,0,0,,,,,,0,0,0,-,-,,0,,,6800,6800,500,-,150,1248,12,260,17,416,5,156,,8698,,4902,19/4/2568,,,2568-04-19 00:00:00,บช k.ณรงค์ 3912,0,2568-02-09 00:00:00,,ย้ายออก,ย้ายออก,
37,C,,,3009 (2),Studio,0,0,0,0,0,0,,28/4/2568,บจก. เอ็มเอส เทท 1983859190,4500,4500,0,0,600,,,4/5/2568,600,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,9000,2568-04-27 00:00:00,,,,
38,C,100,ทั่วไป,3010,Studio,15,485,21,737,6,252,,,,,,180,2016,2671.41,,,2568-05-02 00:00:00,4867.41,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,9000,2568-03-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
,C,101,แปลง 71,3011,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-02-01 00:00:00,,,,
39,C,102,OUT,3012,Studio,0,0,0,0,0,0,0,,,,,0,0,0,,0,,,,,6800,6800,500,,60,810,8,895,10,976,2,-,81,8170,,5430,2568-04-17 00:00:00,,,2568-04-16 00:00:00,บช k.ณรงค์ 3912,0,2568-03-12 00:00:00,3เดือน,ย้ายออก,คืนแล้ว,
40,C,103,แปลง2,3013,Studio,16,735,32,1002,16,267,,,,,,480,2136,6800,-,-,17/5/2568,9416,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,13600,2568-03-15 00:00:00,,,,
41,C,104,OUT,3014,Studio,0,0,0,0,0,0,,-,-,,,0,0,0,-,-,2568-05-08 00:00:00,572,บจก. เอ็มเอส เทท 1983859190,,5000,6800,800,-,180,2792,17,648,23,997,6,349,,10572,,-,-,ติดลบ,-,-,-,0,2567-12-18 00:00:00,6เดือน,ย้ายออก,,
42,C,105,,3015,Suite,28,729,41,1238,13,509,,-,-,,,390,4072,13600,-,-,2568-05-08 00:00:00,18062,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,27200,2568-01-01 00:00:00,2เดือน,2568-03-31 00:00:00,,
43,C,106,OUT,3016,Suite,0,0,0,0,0,0,,2568-04-19 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,0,0,0,-,-,-,0,-,,13600,13600,800,,60,1860,17,382,19,568,2,-,186,20896.67,,,,6303.330000000002,2568-05-05 00:00:00,2568-04-26 00:00:00,บช k.ณรงค์ 3912,0,19/4/2568,,ย้ายออก,,
44,C,107,OUT,3017,Suite,0,0,0,0,0,0,,,,13600,13600,0,0,0,-,-,-,0,0,,13600,13600,800,,60,1880,27,638,29,826,2,,188,20726.67,,,,6473.330000000002,2568-05-05 00:00:00,2568-04-26 00:00:00,บช k.ณรงค์ 3912,0,19/4/2568,,ย้ายออก,,
45,C,108,,3018,Suite,36,1044,41,1274,5,230,,-,-,,,150,1840,12000,-,-,2568-05-15 00:00:00,13990,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,24000,2568-01-01 00:00:00,1 ปี,2569-01-31 00:00:00,,
46,C,109,OUT,3019,Suite,0,0,0,0,0,0,,-,-,,,0,0,,-,-,,0,,,12000,12000,800,-,120,2688,15,458,19,794,4,336,,15608,,-,-,8392,2568-05-04 00:00:00,2568-04-30 00:00:00,บช k.ณรงค์ 3912,0,2568-02-06 00:00:00,2เดือน,ย้ายออก,,
47,C,110,,3020,Suite,44,1452,70,2434,26,982,,-,-,,,780,7856,13600,-,-,2568-05-08 00:00:00,22236,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,27200,2568-02-08 00:00:00,6 เดือน,31/8/2568,,
48,C,111,แปลง2,3021,Studio,33,861,39,1006,6,145,,2568-04-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,180,1160,4986.67,-,-,2568-05-17 00:00:00,6326.67,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,13600,2568-04-09 00:00:00,,,,
