Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,ยอดเงินยกมาจากเดือน ธ.ค 2568,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,201563.63999999996,ยอดเงินโอนข้ามเดือน,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,ยอดเงินโอนออกยกมาจากเดือน ธ.ค 2568,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,20609.400000000005,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
4,E,9,ทั่วไป,1009,Suite,15,207,21,465,6,,258,,,,,,180,12.600000000000001,2580,180.60000000000002,13600,,,,2569-01-27 00:00:00,16553.2,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-12-01 00:00:00,,,,
5,E,10,จงเคอ,1010,Suite,40,2187,50,2485,10,,298,,,,,,300,21.000000000000004,2980,208.60000000000002,13600,,,,,,2569-02-12 00:00:00,17109.6,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-23 00:00:00,,,,
,E,10,จงเคอ,1010,INTERNET,,,,,,,,"ประกัน Router 1,000 บาท ชำระเงินสด 30/1/69 (เข้าบัญชี ก.พ 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-11-23 00:00:00,,,,
,E,11,ไป่หลง,1011,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
,E,12,ไป่หลง,1012,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
6,E,13,ทั่วไป,1013,Suite,272,516,281,904,9,,388,,,,,,270,18.900000000000002,3880,271.6,13600,,,,,,2569-02-01 00:00:00,18040.5,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-30 00:00:00,,,,
7,E,14,ทั่วไป,1014,Suite,23,183,39,463,16,,280,,,,,,480,33.6,2800,196.00000000000003,13600,699,48.93000000000001,,,,2569-02-01 00:00:00,17857.53,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-30 00:00:00,,,,
,E,15,ดาวู,1015,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-11-30 00:00:00,,,,
8,E,16,OUT,1016,Studio,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,6800,6800,,500,35,-,,90,6.300000000000001,460,32.2,,,12,397,15,443,3,,46,7923.5,,,,5676.5,2569-02-02 00:00:00,,2569-01-29 00:00:00,k.ณรงค์ 0581083912,0,,27/11/2568,,,,
,E,17,เฟยจิน,1017,Suite,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,,24/11/2568,,,,
9,E,18,ทั่วไป,1018,Suite,37,1545,48,1827,11,,282,,,,,,330,23.1,2820,197.4,13600,,,,-,,2569-02-12 00:00:00,16970.5,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-12-03 00:00:00,,,,
10,E,19,ทั่วไป,1019,Studio,14,717,20,869,6,,152,,,,,,180,12.600000000000001,1520,106.4,6800,,,,,,2569-02-02 00:00:00,8619,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,,2568-12-17 00:00:00,,,,
,E,20,ไท่ซาน,1020,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,-,,,0,,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,,2568-12-03 00:00:00,,,,
N,E,21,รันเนอจี,1021,Suite,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,3/11/2568,747.9300000000001,,,บจก. เอ็มเอส เทท 1983859190,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,,2568-03-05 00:00:00,,,,
,E,22,เฟยจิน,1022,Suite,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-06-19 00:00:00,,,,
11,E,23,OUT,1023,Suite Out 10/2/69,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,2569-02-10 00:00:00,7656.029999999999,บจก. เอ็มเอส เทท 1983859190,,13600,13600,4371.43,3000,210.00000000000003,2300,161.00000000000003,2100,147,8380,586.6,,,103,3536,173,4374,70,,838,34856.03,,,,,,7656.029999999999,2569-02-09 00:00:00,,0,,2568-10-14 00:00:00,,,,
12,E,24,ทั่วไป,1024,Suite,82,3010,101,3768,19,,758,,,,,,570,39.900000000000006,7580,530.6,13600,,,,,,2569-02-12 00:00:00,22320.5,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-10-14 00:00:00,,,,
13,E,25,ทั่วไป,1025,Suite,22,582,48,1095,26,,513,,,,,,780,54.60000000000001,5130,359.1,13600,,,,,,2569-02-12 00:00:00,19923.7,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-24 00:00:00,,,,
,E,26,เฟยจิน,1026,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,27,ว่าง,1027,Suite,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,0,,2568-11-26 00:00:00,,,,
,E,28,นิคม,1028,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-06-01 00:00:00,,,,
,E,29,นิคม,1029,Suite,0,0,0,0,0,0,,,,,,,0,0,0,0,2800,,,,2569-01-29 00:00:00,3335,,,บจก. เอ็มเอส เทท 1983859190,,0,0,,500,35,-,,0,,0,,,,0,0,0,0,0,0,,535,,0,,-,-,,,,0,,2568-07-01 00:00:00,,,,
14,E,30,ทั่วไป OUT,1030,Studio,0,0,0,0,0,,0,2569-01-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,,0,0,0,0,0,,,,,,,0,,,6800,6800,,500,35,-,,240,16.8,4120,288.40000000000003,,,115,3810,123,4222,8,,412,12000.199999999999,,,,1599.800000000001,2569-02-17 00:00:00,,2569-02-17 00:00:00,k.ณรงค์ 0581083912,0,,2569-01-20 00:00:00,,2569-02-20 00:00:00,,
,E,31,อู้ฟู่,1031,Suite,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,E,32,ทั่วไป,1032,Suite,115,7745,121,8163,6,418,,,,,,,180,12.600000000000001,3344,234.08,13600,699,48.93000000000001,,,,2569-02-12 00:00:00,18118.61,บจก. เอ็มเอส เทท 1983859190,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,20000,,2567-10-05 00:00:00,1ปี,2568-10-05 00:00:00,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,33,เดลทัล,2001,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,34,เดลทัล,2002,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,35,เดลทัล,2003,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,36,เดลทัล,2004,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,37,เดลทัล,2005,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,38,เดลทัล,2006,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,39,เดลทัล,2007,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,40,เดลทัล,2008,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,41,เดลทัล,2009,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,,,2569-02-02 00:00:00,747.9300000000001,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,42,เดลทัล,2010,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,43,เดลทัล,2011,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,44,เดลทัล,2012,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,45,เดลทัล,2013,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,46,เดลทัล,2014,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,47,เดลทัล,2015,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,48,เดลทัล,2016,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,49,เดลทัล,2017,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,50,เดลทัล,2018,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,16/1/2569,747.9300000000001,,, k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,51,เดลทัล,2019,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,52,เดลทัล,2020,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,53,สตาร์ฮับ,2021,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S,54,ทั่วไป,2022,Studio,67,2499,69,2561,2,,62,2569-01-16 00:00:00, k.ณรงค์ 0581083912,6800,6800,,60,4.2,620,43.400000000000006,5264.51,,,,2569-01-29 00:00:00,5992.110000000001,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,,8/1/2569,,,,
2,S,55,ทั่วไป,2023,Studio,38,2463,38,2501,0,,38,2569-01-26 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,,0,0,380,26.6,3290.32,,,,,,2/2/2569,3696.92,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,,17/1/2569,,,,
,S,56,หัวเฉิง,2024,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,0,,,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,,,,-,,,,-,-,,-,-,0,,2567-11-23 00:00:00,2เดือน,,,
3,S,57,เหิงไท่,2025,Studio,47,3347,49,3413,2,,66,2569-01-16 00:00:00, k.ณรงค์ 0581083912,6800,6800,,60,4.2,660,46.2,4825.8,,,,,,2569-02-12 00:00:00,5596.200000000001,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,,2569-01-10 00:00:00,,,,
,S,58,ไทยเตียว,2026,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
4,S,59,ทั่วไป,2027,Studio,72,3373,73,3414,1,,41,2569-01-26 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,,30,2.1,410,28.700000000000003,4606.45,,,,-,,2/2/2569,5077.25,บจก. เอ็มเอส เทท 1983859190,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,13600,,17/1/2569,,,,
,S,60,หัวเฉิง,2028,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,31/8/2568,,,,
,S,61,เดลตัน,2029,Studio,,,,,,,,,,,,,,0,,0,,,,,-,,,,-,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,,,-,-,,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,,-,-,-,-,
,S,62,เดลตัน,2030,Studio,,,,,,,,,,,,,,0,,0,,,,,-,,,,-,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,,,-,-,,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,,,,,,
,S,63,เดลตัน,2031,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,64,เดลตัน,2032,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,2569-01-16 00:00:00,747.9300000000001,,,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,65,เดลตัน,2033,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,66,เดลตัน,2034,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,67,เดลตัน,2035,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,68,เดลตัน,2036,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,69,เดลตัน,2037,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,70,เดลตัน,2038,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,71,เดลตัน,2039,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,72,เดลตัน,2040,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,73,เดลตัน,2041,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,74,เดลตัน,2042,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,75,เดลตัน,2043,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,76,เดลตัน,2044,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,77,เดลตัน,2045,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,78,เดลตัน,2046,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,79,เดลตัน,2047,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,80,เดลตัน,2048,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,81,เฟยจิน,2049,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
5,S,82,ทั่วไป จงเคอ,2050,Studio,69,3286,69,3310,0,,24,2569-01-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,,0,0,240,16.8,2632.25,,,,2569-01-28 00:00:00,2889.05,,,บจก. เอ็มเอส เทท 1983859190,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,13600,,2569-01-20 00:00:00,,,,
,S,83,,2051,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,84,,2052,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,85,,2053,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,86,,2054,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,87,,2055,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,88,,2056,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,89,,2057,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
,S,90,,2058,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,91,ยู่เฟิง,3001,Suite,0,0,0,0,0,-,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,C,92,ชานกง,3002,INTERNET พนง ชานกง,0,0,0,0,0,-,0,,,,,,0,0,0,0,,699,48.93000000000001,,,,ค้างชำระ,747.9300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,93,ทั่วไป,3003,Suite,285,5026,318,5475,33,-,449,,,,,,990,69.30000000000001,4490,314.3,13600,,,,,,2569-02-12 00:00:00,19463.6,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-04-10 00:00:00,,,,
,C,94,คินวอง,3004,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-02-01 00:00:00,,,,
,C,95,เมกะ,3005,Suite,0,0,0,0,0,-,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-10-30 00:00:00,,,,
,C,96,ไท่เต๋อฝู,3006,Suite,0,0,0,0,0,-,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-12-12 00:00:00,,,,
