Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,ยอดเงินยกมาจากเดือน พ.ย 2568,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,270678.5660000001,ยอดเงินโอนข้ามเดือน,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,ยอดเงินโอนออกยกมาจากเดือน พ.ย 2568,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,50527.82,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
4,E,9,ทั่วไป,1009,Suite,10,7,15,207,5,,200,9&10/12/2568,บจก. เอ็มเอส เทท 1983859190,13600,13600,150,10.500000000000002,2000,140,13600,,,,2568-12-29 00:00:00,15900.5,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-12-01 00:00:00,,,,
5,E,10,จงเคอ,1010,Suite,33,1865,40,2187,7,,322,,,,,210,14.700000000000001,3220,225.40000000000003,13600,,,,,,2569-01-16 00:00:00,17270.100000000002,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-11-23 00:00:00,,,,
,E,11,ไป่หลง,1011,Suite,0,0,0,0,0,,0,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
,E,12,ไป่หลง,1012,Suite,0,0,0,0,0,,0,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
6,E,13,ทั่วไป,1013,Suite,263,118,272,516,9,,398,2568-12-04 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,270,18.900000000000002,3980,278.6,14053.33,,,,2568-12-29 00:00:00,18600.83,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-11-30 00:00:00,,,,
7,E,14,ทั่วไป,1014,Suite,19,70,23,183,4,,113,2568-12-04 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,120,8.4,1130,79.10000000000001,14053.33,233,16.310000000000002,,2568-12-30 00:00:00,15640.14,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-11-30 00:00:00,,,,
8,E,15,ทั่วไป,1015,Suite,8,176,13,336,5,,160,2568-12-04 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,150,10.500000000000002,1600,112.00000000000001,13350.67,,,,,,2569-01-05 00:00:00,15223.17,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-11-30 00:00:00,,,,
9,E,16,ทั่วไป,1016,Studio,10,321,12,397,2,,76,2568-12-04 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,60,4.2,760,53.2,6800,,,,,,2569-01-14 00:00:00,7677.4,บจก. เอ็มเอส เทท 1983859190,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,13600,27/11/2568,,,,
,E,17,เฟยจิน,1017,Suite,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,24/11/2568,,,,
10,E,18,ทั่วไป,1018,Suite,32,1417,37,1545,5,,128,2568-12-09 00:00:00,กสิกรไทย คุณณรงค์ 0581083912 ,13600,13600,150,10.500000000000002,1280,89.60000000000001,12722.58,,,,-,,2569-01-16 00:00:00,14252.68,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-12-03 00:00:00,,,,
11,E,19,ทั่วไป,1019,Studio,12,671,14,717,2,,46,2568-12-30 00:00:00,บจก. เอ็มเอส เทท 1983859190,6800,6800,60,4.2,460,32.2,3290.32,,,,,,2569-01-16 00:00:00,3846.72,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,2568-12-17 00:00:00,,,,
,E,20,ไท่ซาน,1020,Suite,0,0,0,0,0,,0,,,,,0,0,0,0,0,,,,-,,,0,,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,2568-12-03 00:00:00,,,,
N,E,21,รันเนอจี,1021,INTERNET พนง.,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,1/12/2568,747.9300000000001,,,บจก. เอ็มเอส เทท 1983859190,,0,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,2568-03-05 00:00:00,,,,
,E,22,เฟยจิน,1022,Suite,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-06-19 00:00:00,,,,
12,E,23,ทั่วไป,1023,Suite,85,2959,103,3536,18,,577,,,,,540,37.800000000000004,5770,403.90000000000003,13600,,,,31/12/2568,20351.7,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-10-14 00:00:00,,,,
13,E,24,ทั่วไป,1024,Suite,73,2363,82,3010,9,,647,,,,,270,18.900000000000002,6470,452.90000000000003,13600,,,,31/12/2568,20811.8,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-10-14 00:00:00,,,,
14,E,25,ทั่วไป,1025,Suite,7,185,22,582,15,,397,,,,,450,31.500000000000004,3970,277.90000000000003,13600,,,,31/12/2568,18329.4,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-11-24 00:00:00,,,,
15,E,26,OUT,1026,Suite,0,0,0,0,0,,0,2568-12-20 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,0,0,0,0,0,,,,,,,0,,,13600,13600,,1300,91.00000000000001,,0,600,42.00000000000001,5230,366.1,,,14,549,34,1072,20,,523,21496.6,,,,5703.4000000000015,2569-01-16 00:00:00,2569-01-13 00:00:00,k.ณรงค์ 0581083912,0,2568-12-13 00:00:00,,,,
,E,27,ว่าง,1027,Suite,,,,,,,,2568-12-04 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,0,0,0,0,,,,,,,,,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,0,2568-11-26 00:00:00,,,,
,E,27,ย้ายห้อง OUT,1027 (2),Suite,0,0,0,0,0,,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,30,2.1,220,15.400000000000002,,,46,890,47,912,1,,22,,,,,,,,,,,,,,
,E,28,นิคม,1028,Suite,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-06-01 00:00:00,,,,
16,E,29,นิคม,1029,Suite,0,0,0,0,0,0,,,,,,0,0,0,0,2800,,,,,,2569-01-02 00:00:00,2800,บจก. เอ็มเอส เทท 1983859190,,0,0,,0,,-,,0,,0,,,,0,0,0,0,0,0,,0,,0,,-,-,,,0,2568-07-01 00:00:00,,,,
,E,30, OUT,1030,Suite,0,0,0,0,0,,0,,,,,0,0,0,0,0,,,,,,,0,,,13600,13600,,2000,140,,0,690,48.300000000000004,6850,479.50000000000006,,,91,3125,114,3810,23,,685,23807.8,,,,3392.2000000000007,2569-01-05 00:00:00,2569-01-02 00:00:00,k.ณรงค์ 0581083912,0,2568-10-24 00:00:00,,,,
,E,31,อู้ฟู่,1031,Suite,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,E,32,ทั่วไป,1032,Suite,108,7299,115,7745,7,446,,,,,,210,14.700000000000001,3568,249.76000000000002,13600,699,48.93000000000001,,,,2569-01-06 00:00:00,18390.39,บจก. เอ็มเอส เทท 1983859190,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,20000,2567-10-05 00:00:00,1ปี,2568-10-05 00:00:00,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,33,เดลทัล,2001,Studio,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,34,เดลทัล,2002,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,35,เดลทัล,2003,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,36,เดลทัล,2004,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,37,เดลทัล,2005,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,38,เดลทัล,2006,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,39,เดลทัล,2007,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,40,เดลทัล,2008,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,41,เดลทัล,2009,INTERNET พนง.,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,,,2569-01-16 00:00:00,747.9300000000001,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,42,เดลทัล,2010,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,43,เดลทัล,2011,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,44,เดลทัล,2012,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,45,เดลทัล,2013,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,46,เดลทัล,2014,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,47,เดลทัล,2015,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,48,เดลทัล,2016,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,49,เดลทัล,2017,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S,50,เดลทัล,2018,INTERNET พนง.,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,9/12/2568,747.9300000000001,,,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,51,เดลทัล,2019,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,52,เดลทัล,2020,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,53,แปลง2,2021,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9/4/2568,,,,
,S,54,แปลง2,2022,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20/5/2568,,,,
,S,55,หัวเฉิง,2023,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31/8/2568,,,,
,S,56,หัวเฉิง,2024,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,0,,,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,,,,-,,,,-,-,-,-,0,2567-11-23 00:00:00,2เดือน,,,
,S,57,แปลง2,2025,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-08-15 00:00:00,,,,
,S,58,แปลง2,2026,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,0,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
,S,59,แปลง2,2027,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,0,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
,S,60,แปลง2,2028,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,0,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
,S,61,เดลตัน,2029,Studio,,,,,,,,,,,,,0,,0,,,,,-,,,,-,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,,,-,-,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,-,-,-,-,
,S,62,เดลตัน,2030,Studio,,,,,,,,,,,,,0,,0,,,,,-,,,,-,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,,,-,-,-,-,ยอดคงเหลืออยู่ไฟล์เดลตัน,,,,,
,S,63,เดลตัน,2031,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,64,เดลตัน,2032,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,65,เดลตัน,2033,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,66,เดลตัน,2034,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,67,เดลตัน,2035,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,68,เดลตัน,2036,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,69,เดลตัน,2037,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,70,เดลตัน,2038,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,71,เดลตัน,2039,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,72,เดลตัน,2040,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,73,เดลตัน,2041,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,74,เดลตัน,2042,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,75,เดลตัน,2043,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,76,เดลตัน,2044,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,77,เดลตัน,2045,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,78,เดลตัน,2046,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,79,เดลตัน,2047,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,80,เดลตัน,2048,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,81,,2049,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,82,,2050,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,83,,2051,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,84,,2052,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,85,,2053,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,86,,2054,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,87,,2055,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,88,,2056,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,89,,2057,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
,S,90,,2058,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,-,,,0,,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,91,ยู่เฟิง,3001,Suite,0,0,0,0,0,-,0,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,C,92,ชานกง,3002,INTERNET พนง.,0,0,0,0,0,-,0,,,,,0,0,0,0,,699,48.93000000000001,,,,2569-01-26 00:00:00,747.9300000000001,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,93,ทั่วไป,3003,Suite,261,4664,285,5026,24,-,362,,,,,720,50.400000000000006,3620,253.40000000000003,13600,,,,,,2569-01-16 00:00:00,18243.8,กสิกรไทย คุณณรงค์ 0581083912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,2568-04-10 00:00:00,,,,
,C,94,คินวอง,3004,Studio,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2568-02-01 00:00:00,,,,
,C,95,เมกะ,3005,Suite,0,0,0,0,0,-,0,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-10-30 00:00:00,,,,
,C,96,ไท่เต๋อฝู,3006,Suite,0,0,0,0,0,-,0,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-12-12 00:00:00,,,,
2,C,97,ทั่วไป,3007,Studio,45,1861,54,2043,9,-,182,,,,,270,18.900000000000002,1820,127.4,6800,,,,,,2569-01-16 00:00:00,9036.3,กสิกรไทย คุณณรงค์ 0581083912 ,,-,-,,-,,-,,-,,-,,,,-,-,-,-,,,,-,,-,-,-,-,-,-,13600,2568-08-04 00:00:00,,,,
,C,98,เมกะ,3008,Studio,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-10-22 00:00:00,,,,
3,C,99,พนง.เดลทัล,3009,Studio,46,1654,52,1780,6,126,,,,,,180,12.600000000000001,1008,70.56,4500,,,,2568-12-30 00:00:00,5771.16,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,2568-04-27 00:00:00,,,,
