Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,ยอดเงินยกมาจากเดือน ธ.ค 2567 ,Unnamed: 18,Unnamed: 19,247630.4,ยอดเงินโอนข้ามเดือน,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,ยอดเงินโอนออกยกมาจากเดือน ธ.ค 2567 ,Unnamed: 35,Unnamed: 36,Unnamed: 37,0,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
7,E,12,,1012,Suite,1,2,4,131,3,129,4/1/2568,บช k.ณรงค์ 3912,"13,600","13,600",90,1032,"12,283.87",0,0,4/2/2568,13405.87,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,27200,4/1/2568,,,ชำระแล้ว,
8,E,13,,1013,Suite,-,-,-,-,-,-,12/1/2568,บช k.ณรงค์ 3912,"6,800","6,800",0,0,0,0,0,0,0,0,"6,800","6,800",500,0,30,344,261,32,262,75,1,43,,7674,0,0,5926,7/2/2568,,,6/2/2568,บช k.ณรงค์ 3912,0,12/1/2568,,,ย้ายออก,
9,E,14,,1014,Suite,-,-,-,-,-,-,12/1/2568,บช k.ณรงค์ 3912,"6,800","6,800",0,0,0,0,0,0,0,0,"6,800","6,800",600,0,90,376,2,15,5,62,3,47,,7866,0,0,5734,7/2/2568,,,6/2/2568,บช k.ณรงค์ 3912,0,12/1/2568,,,ย้ายออก,
,E,15,,1015,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,E,16,,1016,Suite,10,293,10,293,0,0,24/1/2568,บจก เอ็มเอสเทท 5919x,5500,5500,0,0,13652.45,2568-01-24 00:00:00,13652.45,,0,บจก เอ็มเอสเทท 5919x,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,11000,5/1/2568,2 เดือน,5/3/2568,ชำระแค่ค่าห้อง,
11,E,17,,1017,Suite,37,575,37,575,0,0,24/1/2568,บจก เอ็มเอสเทท 5919x,11000,11000,0,0,,2568-01-24 00:00:00,,,0,บจก เอ็มเอสเทท 5919x,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,22000,5/1/2569,3 เดือน,5/3/2569,ชำระแค่ค่าห้อง,
12,E,18,,1018,Suite,13,557,19,706,6,149,-,-,-,-,180,1192,13600,2568-01-31 00:00:00,14972,-,-,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,0,0,,-,-,-,-,-,,,-,-,20000,2567-10-23 00:00:00,3 เดือน,2568-01-31 00:00:00,ชำระแล้ว,
,E,19,,1019,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,E,20,,1020,Suite,1080,28,1104,183,24,155,8/1/2568,บช k.ณรงค์ 3912,"24,000","24,000",720,1240,"9,290.32",2568-01-31 00:00:00,11250.32,-,-,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,24000,8/1/2568,,,ชำระแล้ว,
14,E,21,,1021,Suite,41,36,45,202,4,166,,,,,120,1328,"9,290.32",2568-01-31 00:00:00,10738.32,-,-,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,24000,8/1/2568,,,ชำระแล้ว,
15,E,22,,1022,Suite,22,456,29,593,7,137,-,-,-,-,210,1096,6800,-,-,2568-02-01 00:00:00,8106,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,0,0,,-,-,-,-,-,,,-,-,10000,2567-10-22 00:00:00,3 เดือน,2568-01-31 00:00:00,ชำระแล้ว,
16,E,23,,1023,Suite,15,512,21,689,6,177,-,-,-,-,180,1416,6800,-,-,2568-02-01 00:00:00,8396,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,0,0,,-,-,-,-,-,,,-,-,10000,2567-10-22 00:00:00,3 เดือน,2568-01-31 00:00:00,ชำระแล้ว,
17,E,24,,1024,Suite,29,577,36,737,7,160,-,-,-,-,210,1280,6800,-,-,2568-02-01 00:00:00,8290,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,0,0,,-,-,-,-,-,,,-,-,10000,2567-10-15 00:00:00,4 เดือน,31/2/2568,ชำระแล้ว,
,E,25,,1025,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,26,,1026,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,E,27,,1027,Suite,10,17,24,29,14,12,15/2/2568,บจก เอ็มเอสเทท 5919x,"5,000","5,000",420,96,"1,612.9",-,-,15/12/2568,2128.9,บจก เอ็มเอสเทท 5919x,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,10000,2568-01-22 00:00:00,,,ชำระแล้ว,
,E,28,,1028,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,E,29,,1029,Suite,10,336,14,419,4,83,-,-,-,-,120,664,6800,2567-01-31 00:00:00,7584,-,-,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,10000,2567-10-15 00:00:00,3 เดือน,2568-01-31 00:00:00,ชำระแล้ว,
20,E,30,,1030,Suite,16,586,25,782,9,196,-,-,-,-,270,1568,6800,-,-,2568-02-01 00:00:00,8638,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,10000,2567-10-11 00:00:00,3 เดือน,2568-01-31 00:00:00,ชำระแล้ว,
,E,31,,1031,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,E,32,,1032,Suite,28,882,28,898,0,16,-,-,-,-,0,128,13600,-,-,2568-02-01 00:00:00,13728,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,20000,2567-10-05 00:00:00,1ปี,2568-10-05 00:00:00,ชำระแล้ว,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,S,33,เดลทัล,2001,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,S,34,เดลทัล,2002,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,S,35,เดลทัล,2003,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,S,36,เดลทัล,2004,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,S,37,เดลทัล,2005,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,S,38,เดลทัล,2006,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,S,39,เดลทัล,2007,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,S,40,เดลทัล,2008,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,S,41,เดลทัล,2009,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,S,42,เดลทัล,2010,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,S,43,เดลทัล,2011,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,S,44,เดลทัล,2012,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,S,45,เดลทัล,2013,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,S,46,เดลทัล,2014,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,S,47,เดลทัล,2015,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,S,48,เดลทัล,2016,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,S,49,เดลทัล,2017,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,S,50,เดลทัล,2018,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,S,51,เดลทัล,2019,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,S,52,เดลทัล,2020,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,S,53,,2021,Studio,18,210,26,334,8,124,-,-,-,-,240,992,6800,-,-,04/02/2568,8032,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,09/12/2567,2เดือน,31/02/2568,ชำระแล้ว,
43,S,54,,2022,Studio,-,-,-,-,-,-,4/1/2568,บช k.ณรงค์ 3912,6800,6800,-,-,-,-,-,-,-,-,6800,6800,500,-,120,376,3,40,7,87,4,47,,7796,5804,24/1/2568,-,-,,,21/1/2568,บช k.ณรงค์ 3912,0,2/1/2568,,ย้ายออก,คืนเรียบร้อย,
44,S,55,,2023,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,6800,500,-,90,1464,3,56,6,239,3,183,,8854,1146,28/1/2568,-,-,,,28/1/2568,บช k.ณรงค์ 3912,0,2567-12-15 00:00:00,2เดือน,ย้ายออก,คืนเรียบร้อย,
45,S,56,,2024,Studio,4,130,7,181,3,51,-,-,-,-,90,408,6460,-,-,10/02/2568,6958,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,2567-11-23 00:00:00,2เดือน,31/01/2568,ชำระแล้ว,
46,S,57,,2025,Studio,8,69,15,159,7,90,-,-,-,-,210,720,6800,-,-,07/02/2568,7730,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,2567-12-18 00:00:00,2เดือน,31/02/2568,ชำระแล้ว,
47,S,58,แปลง2,2026,Studio,3,24,10,395,7,371,-,-,-,-,210,2968,6800,-,-,-,9978,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,ชำระแล้ว,
48,S,59,แปลง2,2027,Studio,2,12,7,63,5,51,-,-,-,-,150,408,6800,-,-,-,7358,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,ชำระแล้ว,
49,S,60,แปลง2,2028,Studio,3,20,8,250,5,230,-,-,-,-,150,1840,6800,-,-,-,8790,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,ชำระแล้ว,
50,S,61,เดลตัน,2029,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,S,62,เดลตัน,2030,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,S,63,เดลตัน,2031,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,S,64,เดลตัน,2032,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,S,65,เดลตัน,2033,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,S,66,เดลตัน,2034,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,S,67,เดลตัน,2035,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,S,68,เดลตัน,2036,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,S,69,เดลตัน,2037,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,S,70,เดลตัน,2038,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,S,71,เดลตัน,2039,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,S,72,เดลตัน,2040,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,S,73,เดลตัน,2041,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,S,74,เดลตัน,2042,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,S,75,เดลตัน,2043,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,S,76,เดลตัน,2044,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,S,77,เดลตัน,2045,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,S,78,เดลตัน,2046,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,S,79,เดลตัน,2047,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,S,80,เดลตัน,2048,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,S,81,แปลง2,2049,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,180,1496,1,3,7,190,6,187,,8776,-,-,4824,2568-02-27 00:00:00,,,2568-01-24 00:00:00,บช k.ณรงค์ 3912,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
71,S,82,แปลง2,2050,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,180,1376,1,26,7,198,6,172,,8656,-,-,4944,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
72,S,83,แปลง2,2051,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,150,840,2,7,7,112,5,105,,8090,-,-,5510,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
73,S,84,แปลง2,2052,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,690,968,19,11,42,132,23,121,,8758,-,-,4842,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
74,S,85,แปลง2,2053,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,150,376,1,15,6,62,5,47,,7626,-,-,5974,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
75,S,86,แปลง2,2054,Studio,4,9,7,75,3,66,-,-,-,-,90,528,6800,-,-,-,7418,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
76,S,87,แปลง2,2055,Studio,8,9,20,88,12,79,-,-,-,-,360,632,6800,-,-,-,7792,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,13600,2568-11-17 00:00:00,2เดือน,เช่าต่อเนื่อง,,
77,S,88,แปลง2,2056,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,150,688,3,6,8,92,5,86,,7938,-,-,5662,2568-02-27 00:00:00,,,2568-01-24 00:00:00,บช k.ณรงค์ 3912,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
78,S,89,แปลง2,2057,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,270,1304,1,4,10,167,9,163,,8674,-,-,4926,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
79,S,90,แปลง2,2058,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,1000,-,450,1264,3,18,18,176,15,158,,9514,-,-,4086,2568-02-27 00:00:00,,,2568-01-24 00:00:00,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,C,91,,3001,Suite,-,-,-,-,-,-,2568-01-02 00:00:00,บช k.ณรงค์ 3912,13600,13600,-,-,-,-,-,-,-,-,13600,13600,500,-,240,848,17,226,25,332,8,106,,15188,-,-,12012,2568-02-02 00:00:00,,,2568-02-02 00:00:00,บช k.ณรงค์ 3912,0,2568-01-02 00:00:00,,ย้ายออก,คืนเรียบร้อย,
81,C,92,,3002,Suite,-,-,-,-,-,-,2568-01-02 00:00:00,บช k.ณรงค์ 3912,13600,13600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,0,2568-01-02 00:00:00,6เดือน,2568-07-31 00:00:00,ชำระแล้ว,
82,C,93,,3003,Suite,-,-,-,-,-,-,2568-01-02 00:00:00,บช k.ณรงค์ 3912,13600,13600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,0,2568-01-02 00:00:00,6เดือน,2568-07-31 00:00:00,ชำระแล้ว,
83,C,94,ย้ายออก,3004,Suite,0,0,0,0,0,0,2568-01-01 00:00:00,บช k.ณรงค์ 3912,6800,6800,0,0,0,-,-,,0,-,6800,6800,-,-,120,872,0,0,4,109,4,109,,7792,-,-,-,-,5808,,2568-03-06 00:00:00,บช k.ณรงค์ 3912,0,2568-01-01 00:00:00,6เดือน,ย้ายออก,คืนเรียบร้อย,
84,C,95,,3005,Suite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600,13600,400,-,150,1288,1,33,6,194,5,161,,15438,11762,2568-01-28 00:00:00,-,-,,,2568-01-28 00:00:00,บช k.ณรงค์ 3912,0,2568-01-01 00:00:00,1เดือน,ย้ายออก,คืนเรียบร้อย,
85,C,96,,3006,Suite,-,-,-,-,-,-,2568-01-02 00:00:00,บช k.ณรงค์ 3912,13600,13600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,0,2568-01-02 00:00:00,6เดือน,2568-07-31 00:00:00,ชำระแล้ว,
86,C,97,ย้ายออก,3007,Studio,0,0,0,0,0,0,-,-,-,-,0,0,0,-,-,,0,-,6800,6800,-,-,60,680,2,23,4,108,2,85,406,7540,-,-,-,-,6466,2568-03-08 00:00:00,2568-03-06 00:00:00,บช k.ณรงค์ 3912,0,2567-12-26 00:00:00,1เดือน,ย้ายออก,คืนเรียบร้อย,
87,C,98,,3008,Studio,3,155,5,222,2,67,-,-,-,-,60,536,6800,-,-,12/02/2568,7396,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,2567-11-23 00:00:00,6เดือน,2568-05-31 00:00:00,ชำระแล้ว,
88,C,99,แปลง2,3009,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,90,312,0,10,3,49,3,39,,7502,-,,6098,-,,,-,บช k.ณรงค์ 3912,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,คืนเรียบร้อย,
89,C,100,แปลง2,3010,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,6800,300,-,180,1352,0,7,6,176,6,169,,8632,-,,4968,-,,,-,,0,2568-11-17 00:00:00,2เดือน,ย้ายออก,คืนเรียบร้อย,
90,C,101,ย้ายออก,3011,Studio,0,0,0,0,0,0,-,-,-,-,0,0,0,-,-,-,0,-,5000,6800,-,-,0,56,1,19,1,26,0,7,1103.23,6856,-,-,,-,4247.23,2568-03-08 00:00:00,2568-03-06 00:00:00,บช k.ณรงค์ 3912,0,2567-12-12 00:00:00,1เดือน,ย้ายออก,คืนเรียบร้อย,
91,C,102,,3012,Studio,2,327,6,632,4,305,-,-,-,-,120,2440,6800,-,-,12/02/2568,9360,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,2567-11-18 00:00:00,6เดือน,2568-05-31 00:00:00,ชำระแล้ว,
92,C,103,,3013,Studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,5000,500,-,30,768,1,162,2,258,1,96,,6298,-,-,3702,2568-02-09 00:00:00,,,-,-,0,2567-11-18 00:00:00,6เดือน,ย้ายออก,,
93,C,104,,3014,Studio,2,54,10,213,8,159,-,-,-,-,240,1272,6800,-,-,2568-02-08 00:00:00,8312,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,10000,2567-12-18 00:00:00,6เดือน,31/6/2568,ชำระแล้ว,
94,C,105,,3015,Suite,0,0,6,69,6,69,2568-01-17 00:00:00,บช k.ณรงค์ 3912,6800,6800,180,552,13600,-,-,2568-02-06 00:00:00,14332,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,27200,2568-01-01 00:00:00,2เดือน,2568-03-31 00:00:00,ชำระแล้ว,
